hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,carrier_avg_delay,route_avg_delay,actual,pred,prob
21,3,0,28.9,16.77,11.0,0.618245880181441,7.467465753424658,15.70668485675307,0,1,0.7987375740467445
21,3,0,28.9,16.795,-6.0,0.618245880181441,7.467465753424658,17.70921985815603,0,1,0.6996220448698792
21,3,0,28.9,16.765,3.0,0.618245880181441,7.467465753424658,32.84126984126984,0,1,0.8198158781660209
22,3,0,28.9,16.745,-8.0,0.4686135272402645,7.467465753424658,9.573684210526316,0,1,0.6862351937885557
22,3,0,28.9,16.795,-1.0,0.4686135272402645,7.467465753424658,7.957446808510638,0,1,0.6544523368127758
20,2,0,59.1,7.56,94.0,0.188235294117647,-18.347169811320757,-11.278901734104046,0,1,0.7678306431688833
17,2,0,59.1,5.595,1.0,0.5985833474078721,0.486432825943084,11.980861244019138,0,1,0.5830123778091296
17,2,0,59.1,5.595,1.0,0.5985833474078721,0.486432825943084,11.980861244019138,0,1,0.5830123778091296
18,2,0,59.1,5.28,-10.0,0.4858995238784603,0.486432825943084,15.70668485675307,0,1,0.590262691577886
18,2,0,59.1,5.28,-10.0,0.4858995238784603,0.486432825943084,15.70668485675307,0,1,0.590262691577886
18,2,0,59.1,5.085,-1.0,0.4858995238784603,-5.607778510217535,6.773584905660377,0,1,0.6413135313191992
19,2,0,59.1,5.87,35.0,0.4522598179961073,-5.607778510217535,-0.7538461538461538,0,1,0.6876453455799381
19,2,0,59.1,5.885,-7.0,0.4522598179961073,0.486432825943084,15.70668485675307,0,1,0.7284358688146583
19,2,0,59.1,5.85,-8.0,0.4522598179961073,-5.607778510217535,-2.531150159744409,0,1,0.542375624456921
19,2,0,59.1,5.85,-8.0,0.4522598179961073,-5.607778510217535,-2.531150159744409,0,1,0.542375624456921
20,2,0,59.1,7.045,61.0,0.4068554062314015,-5.607778510217535,-2.531150159744409,0,1,0.710128908122182
21,2,0,59.1,6.975,34.0,0.2925171709372838,-5.607778510217535,-11.278901734104046,0,1,0.7904865436674119
15,3,0,28.9,6.77,2.0,0.7230318768196367,44.70224719101124,26.832432432432437,0,1,0.6542519450847857
15,3,0,28.9,6.77,2.0,0.7230318768196367,44.70224719101124,26.832432432432437,0,1,0.6542519450847857
15,3,0,28.9,6.77,2.0,0.7230318768196367,44.70224719101124,26.832432432432437,0,1,0.6542519450847857
18,3,0,28.9,7.03,-4.0,0.4858995238784603,0.486432825943084,30.213793103448275,0,1,0.6228277088122792
18,3,0,28.9,7.03,-4.0,0.4858995238784603,0.486432825943084,30.213793103448275,0,1,0.6228277088122792
20,3,0,28.9,7.485,-8.0,0.5750539356431661,44.70224719101124,26.832432432432437,0,1,0.7931422478223403
20,3,0,28.9,7.485,-8.0,0.5750539356431661,44.70224719101124,26.832432432432437,0,1,0.7931422478223403
20,3,0,28.9,7.485,-8.0,0.5750539356431661,44.70224719101124,26.832432432432437,0,1,0.7931422478223403
21,3,0,28.9,7.77,-8.0,0.4421495238784603,0.486432825943084,15.70668485675307,0,1,0.5291411198777067
22,3,0,28.9,7.8,6.0,0.3143921709372838,0.486432825943084,30.213793103448275,0,1,0.8030396315939851
16,5,1,10.45,1.665,-4.0,0.5649436415255191,44.70224719101124,15.70668485675307,0,1,0.5545501156044764
16,5,1,10.45,1.665,-4.0,0.5649436415255191,44.70224719101124,15.70668485675307,0,1,0.5545501156044764
16,5,1,10.45,1.665,-4.0,0.5649436415255191,44.70224719101124,15.70668485675307,0,1,0.5545501156044764
