run,gate,destination,terminal,walking_speed,congestion,stay_minutes,gate_change,trip_time,buffer,safe
907,GATE_C3,STARBUCKS_T5,5,1.86,0.99,13,False,15.16,35,True
908,GATE_D1,RESTROOM_T7,7,1.43,0.91,15,False,18.5,35,True
909,GATE_D2,RESTROOM_T7,7,1.55,0.8,5,False,6.48,35,True
910,GATE_C1,DUNKIN_T5,5,1.1,1.36,6,False,20.62,35,True
911,GATE_C2,RESTROOM_T5,5,1.34,0.93,5,False,6.97,35,True
912,GATE_D2,SHAKE_SHACK_T7,7,0.7,1.4,18,False,32.87,35,True
913,GATE_B1,RESTROOM_T4,4,0.87,0.89,20,False,23.99,35,True
914,GATE_D2,RESTROOM_T7,7,1.67,1.13,16,False,17.94,35,True
915,GATE_D2,SHAKE_SHACK_T7,7,1.5,0.91,8,False,12.52,35,True
916,GATE_B2,MC_DONALDS_T4,4,1.23,1.28,11,True,22.45,35,True
917,GATE_D2,RESTROOM_T7,7,1.9,1.21,19,False,20.83,35,True
918,GATE_D2,RESTROOM_T7,7,1.5,1.04,15,True,17.0,35,True
919,GATE_D1,RESTROOM_T7,7,1.49,0.88,12,False,15.26,35,True
920,GATE_A3,RESTROOM_T8,8,1.76,1.0,19,True,20.22,35,True
921,GATE_D2,RESTROOM_T7,7,1.28,0.94,19,False,21.11,35,True
